Year,2004,2005,2006,2007,2008,2009,2010,2011
Bed & Breakfast,1570,1617,1471,1266,1137,1469,1518,1252
Camping/mobile home,250,322,339,320,298,363,378,379
Free guest with relatives or friends,15167,16363,16256,14386,12831,16976,16003,14233
Holiday village/Centre,45,64,53,59,46,99,49,55
Hostel/university/school,1232,1372,1348,1261,1153,1616,1510,1382
Hotel/guest house,18716,19971,20585,18560,15641,20885,21998,19765
Other,965,893,910,864,873,1008,1033,1136
Own home,730,744,740,645,522,656,637,545
Paying guest family or friends house,562,599,527,487,507,529,538,637
Rented house,1101,1161,1164,1034,973,1457,1397,1291
